id,host_since,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
53016957,2013-2016,f,Sunnyvale,37.382362,-122.012909,Entire home/apt,Small groups,3.0,3.0,264.0,31,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53279031,2009-2012,f,Unincorporated Areas,37.34948,-122.1075,Entire home/apt,Medium groups,4.0,6.0,459.0,2,1125,10,5.0,5.0,5.0,5.0,4.9,4.7,1.96
53279938,2013-2016,f,San Jose,37.31845,-121.92614,Entire home/apt,Small groups,1.0,2.0,159.0,28,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53279962,2009-2012,t,Mountain View,37.39671,-122.08888,Entire home/apt,Small groups,2.0,2.0,145.0,2,90,8,4.75,4.75,4.88,5.0,4.88,4.5,2.12
53279977,2009-2012,t,Mountain View,37.39806,-122.08883,Entire home/apt,Couple,1.0,2.0,164.0,3,1125,7,4.86,5.0,4.71,4.86,5.0,4.71,1.94
53281380,2013-2016,t,San Jose,37.36705,-121.81933,Entire home/apt,Couple,1.6826220231077575,1.0,109.0,2,25,20,4.85,4.8,4.65,5.0,4.45,4.7,2.86
53282564,2021-2022,f,Palo Alto,37.44093,-122.14683,Private room,Couple,1.0,1.0,122.0,2,30,6,4.83,4.67,4.5,5.0,5.0,4.67,2.22
53298844,2013-2016,f,Santa Clara,37.36882,-121.98483,Entire home/apt,Small groups,3.0,4.0,150.0,15,1125,1,5.0,5.0,5.0,5.0,5.0,5.0,0.29
53022968,2013-2016,f,San Jose,37.31314,-121.89174,Private room,Couple,1.0,1.0,90.0,1,31,2,5.0,5.0,5.0,5.0,5.0,5.0,0.63
53299459,2013-2016,f,San Jose,37.26994,-121.91922,Entire home/apt,Couple,1.0,1.0,79.0,2,7,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53302662,2021-2022,f,Los Altos,37.401,-122.11695,Entire home/apt,Small groups,1.0,2.0,349.0,1,365,6,4.83,4.67,4.5,4.83,5.0,4.83,1.0
53302672,2021-2022,f,Los Altos,37.40271,-122.11691,Entire home/apt,Small groups,1.6826220231077575,2.0,359.0,1,365,6,4.83,4.67,4.83,4.83,5.0,4.67,1.18
53026929,2021-2022,f,San Jose,37.41953,-121.86166,Private room,Couple,1.0,1.0,68.0,1,365,7,5.0,4.86,4.86,5.0,5.0,5.0,0.93
53027276,2021-2022,f,San Jose,37.41968,-121.86207,Private room,Couple,1.0,1.0,68.0,1,365,9,4.89,5.0,5.0,5.0,4.78,4.78,1.19
53030263,2021-2022,t,San Jose,37.31222,-121.87337,Private room,Couple,1.0,1.0,84.0,1,1125,76,4.97,4.99,4.96,5.0,4.74,4.93,11.69
53306154,2013-2016,f,Mountain View,37.397198,-122.104179,Entire home/apt,Couple,1.0,1.0,220.0,31,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53031506,2021-2022,f,San Jose,37.4185,-121.86171,Private room,Couple,1.0,1.0,58.0,1,365,10,4.2,4.6,4.8,4.6,4.8,4.4,1.3
